company,year,revenue,profit,assets,liabilities,operating_cash_flow,ebitda,net_income,total_equity,current_assets,current_liabilities,retained_earnings,market_value_equity,sales
Acme Corp,2019,4729211370.629443,785325570.8850162,11153215165.356033,5322031940.3183,820498105.9659401,1170784931.8173413,693219046.6917557,5831183225.037733,6618001111.000238,1913406766.151181,3602794811.261117,16550101207.565275,4729211370.629443
Acme Corp,2020,5138490093.67035,950214613.9838563,11761410909.79187,4842590186.039475,1065297634.1182592,1310668600.2219682,758322430.2932806,6918820723.752395,5713620595.75228,2472367379.9232206,4428814787.535458,19274658722.174522,5138490093.67035
Acme Corp,2021,5392384733.505435,1326104433.5002682,9603934319.537067,4777836492.364121,1195950196.4119768,1763576097.8491678,977402683.1191947,4826097827.172946,4603825901.549114,2793371686.118139,3030646176.3813953,8005776832.845452,5392384733.505435
Acme Corp,2022,6324827224.299373,738168281.9717224,14232676251.440073,11146519500.119637,608733306.938153,1061615574.6796124,584858169.3106459,3086156751.3204365,4340481873.174422,4352687978.925977,1472830797.5687566,6958447171.762932,6324827224.299373
Acme Corp,2023,7203937694.337373,1294856323.2414455,17783458436.582043,13674766128.384132,1180199820.486734,1579447191.7893138,947809430.1664315,4108692308.1979103,7606128876.056687,4624915739.175942,2294018632.32128,11700841846.214914,7203937694.337373
Globex,2019,796229131.1643316,130902417.62175314,1003306246.022347,679890690.97632,128919361.96872687,174170807.29289845,94152574.41448635,323415555.04602695,403133538.26373535,262768285.8798634,150803845.91943562,425008154.0538339,796229131.1643316
Globex,2020,741242466.5618203,103676673.82393569,974167661.0341195,756286776.3808919,121915510.1031544,118888958.53692831,73593763.77456583,217880884.65322757,308321385.74642926,320818359.58726007,98316569.36287808,218290655.32630587,741242466.5618203
Globex,2021,809743238.702051,144565911.37448972,1124710743.1951203,708041629.7118179,116205074.41281974,216441938.00914082,123215863.74786504,416669113.4833025,337857868.7762499,409859488.2908183,262567789.92852888,1059037918.4767683,809743238.702051
Globex,2022,748696075.4983531,130115058.99121435,1397466600.2811425,941120171.2678902,153807622.45672625,154595367.6540356,104425042.82063033,456346429.01325226,605004017.7517363,507567369.8322784,209100689.01851708,1040477663.3731663,748696075.4983531
Globex,2023,705948909.6634147,167805367.78220442,1301338573.4407284,749607456.3620647,188212722.05127284,208986546.77262333,137463206.42905775,551731117.0786637,721715246.4759271,286281591.7803616,372852617.5906632,1537568961.230483,705948909.6634147
Soylent,2019,798106889.6090593,99517930.78209941,1400534602.0010567,731623253.8922777,104383866.46187305,128422455.0357099,77715337.24817833,668911348.108779,673371170.8832402,308928068.71070695,378269560.29613525,1326482104.0161877,798106889.6090593
Soylent,2020,733246441.5809196,145289731.6305482,1732460747.1014018,1085894587.783264,166970906.2500519,161379448.25154313,102688664.70497584,646566159.3181379,588455864.5561584,501181263.8273194,333372079.529524,1813853704.3702507,733246441.5809196
Soylent,2021,670313821.1642643,87986161.97259946,1610920761.149731,788581938.765888,79433156.76654986,120666320.10202181,65929289.9915787,822338822.383843,846831394.9094471,380784897.4608821,426789831.91892415,1971094655.740439,670313821.1642643
Soylent,2022,770160610.4689926,82684642.54731284,1364078685.0299492,599618573.0108771,95563742.19824198,121985960.87038155,65776106.729627155,764460112.019072,571706736.0617377,223745344.3249598,417228018.571249,824307784.183251,770160610.4689926
Soylent,2023,746082860.0040257,83613107.29224616,1411570836.4103637,803825977.3246934,69593920.5116038,116749637.20392138,72770715.56157823,607744859.0856702,656477717.4421088,400468603.73033935,340512307.1691149,1149815444.8075204,746082860.0040257
Initech,2019,3900393472.4265537,839535406.824818,8998177153.308851,4565114520.767288,685383198.0114387,1196605125.4193494,728123736.5431247,4433062632.541563,5176801157.7319,1789591616.4840436,2134600892.1882646,12167357977.722332,3900393472.4265537
Initech,2020,3753466503.357868,460773235.878025,8236358104.833208,3562361512.203616,497969240.3687889,556896287.5397588,413284675.1447309,4673996592.629592,2817130639.938954,1155312822.978654,2841747547.81986,6897483100.031847,3753466503.357868
Initech,2021,3592446160.4833984,678128433.2401675,6719196423.116634,2946242328.283332,637506049.565547,986154193.9868414,531068703.92980117,3772954094.8333025,2912666643.5168076,1279632178.4162583,2077167970.5868282,8535847385.393114,3592446160.4833984
Initech,2022,3388393958.550797,646743241.8085978,4807072187.478819,3439997598.313557,546315998.4615484,799614556.9309647,568468627.6225333,1367074589.1652617,1818167862.1151407,1317102415.7168765,955983144.482769,3697911355.4810157,3388393958.550797
Initech,2023,3443449952.363796,679332776.251329,4881878296.951947,2329464166.2577195,544859153.6397114,832974457.920303,517445189.07585734,2552414130.6942277,2520766694.396276,787612118.7393883,1223237713.0559568,5905907765.030933,3443449952.363796
Umbrella,2019,1223378691.3249931,70672756.62423553,1718245578.9427042,707061194.0243798,70022375.91688752,100317178.57361974,62481331.62779945,1011184384.9183244,916414881.9012223,394314829.97198737,687069588.671633,1626940752.7856927,1223378691.3249931
Umbrella,2020,1411391390.4077682,283958475.8851816,3391373856.9556937,1859232342.654908,232186161.2768364,389584568.7164974,206850008.5535556,1532141514.3007858,1895320097.8033323,897376209.8786393,746497129.4003519,2650687039.383314,1411391390.4077682
Umbrella,2021,1446466164.1199808,153577625.8407202,3381510918.5142674,2156457761.9131794,137298200.14692572,227951032.7220297,117271603.89431378,1225053156.601088,1270148784.2827585,1122064888.9131267,679213330.1501225,2044633245.513116,1446466164.1199808
Umbrella,2022,1529745899.8430161,231701592.45787713,3512778809.287234,2508830762.5210133,271738567.74839836,319201537.8104891,181296522.7898124,1003948046.7662206,1261355419.4241133,1066190401.7637252,627940602.0127089,2395889642.217554,1529745899.8430161
Umbrella,2023,1829667080.2371895,431554830.04354984,2327097796.5650206,1101067833.635596,424741588.770432,526976675.0859791,373385436.4743302,1226029962.9294245,1197458696.7837555,386144870.31974393,611744201.5199492,2468661377.8831506,1829667080.2371895
