date,amount,transaction_type,description,is_anomaly
2023-01-30,2066.870775110546,Purchase,Txn 0,False
2023-03-03,1402.34828825871,Fee,Txn 1,False
2023-02-11,387.4563477246664,Transfer,Txn 2,False
2023-02-06,365.69732279623514,Fee,Txn 3,False
2023-04-22,2426.8437479775966,Purchase,Txn 4,False
2023-05-28,1164.8006364446214,Purchase,Txn 5,False
2023-03-23,387.44535135882757,Sale,Txn 6,False
2023-07-14,2037.3534604693577,Transfer,Txn 7,False
2023-06-28,1707.3550411132655,Purchase,Txn 8,False
2023-10-06,640.9409092953048,Sale,Txn 9,False
2023-02-21,785.8343281846664,Transfer,Txn 10,False
2023-09-03,1374.0322467051597,Purchase,Txn 11,False
2023-05-14,72.63223179288099,Transfer,Txn 12,False
2023-05-24,425.09687883997026,Fee,Txn 13,False
2023-08-08,443.9541168468228,Sale,Txn 14,False
2023-03-20,1283.846371313069,Fee,Txn 15,False
2023-03-13,1560.315443769507,Purchase,Txn 16,False
2023-02-03,1331.795517592793,Fee,Txn 17,False
2023-12-13,4492.360925866428,Sale,Txn 18,False
2023-02-03,500.4895513929849,Purchase,Txn 19,False
2023-10-28,3353.7749755580867,Transfer,Txn 20,False
2023-08-07,513.9263583205161,Fee,Txn 21,False
2023-03-29,393.12674657509257,Transfer,Txn 22,False
2023-02-03,11039.507980656868,Fee,Txn 23,True
2023-05-14,491.4517801847274,Sale,Txn 24,False
2023-09-05,288.68495471490047,Purchase,Txn 25,False
2023-04-16,564.2371617102617,Sale,Txn 26,False
2023-02-28,167.44010679947678,Sale,Txn 27,False
2023-04-06,24636.92847961359,Transfer,Txn 28,True
2023-09-02,185.17530249875293,Sale,Txn 29,False
2023-10-26,6498.02490554011,Transfer,Txn 30,True
2023-08-19,270.4957513095935,Purchase,Txn 31,False
2023-05-06,2799.952307448912,Purchase,Txn 32,False
2023-08-06,355.50527248454523,Sale,Txn 33,False
2023-05-14,1531.8176093128586,Purchase,Txn 34,False
2023-02-21,849.7594931631966,Transfer,Txn 35,False
2023-06-10,135.03113857469552,Sale,Txn 36,False
2023-11-30,711.8890667945233,Fee,Txn 37,False
2023-09-04,45.784432538427104,Sale,Txn 38,False
2023-12-07,732.9409322338533,Fee,Txn 39,False
2023-02-21,166.92282841260868,Sale,Txn 40,False
2023-12-03,1127.6517961567836,Fee,Txn 41,False
2023-06-06,2579.7441073335413,Sale,Txn 42,False
2023-01-14,1733.4884535012754,Purchase,Txn 43,False
2023-04-22,235.57112082185472,Fee,Txn 44,False
2023-11-20,533.968771869988,Fee,Txn 45,False
2023-10-31,3141.731780091451,Sale,Txn 46,False
2023-04-12,333.90977932866775,Purchase,Txn 47,False
2023-09-06,2268.398779238497,Sale,Txn 48,False
2023-12-15,900.2449997408816,Purchase,Txn 49,False
2023-11-20,138.57381099203056,Fee,Txn 50,False
2023-11-11,1208.8265331795014,Purchase,Txn 51,False
2023-05-21,417.4890417010639,Fee,Txn 52,False
2023-11-06,1325.7673357053482,Transfer,Txn 53,False
2023-08-02,1402.679347196329,Sale,Txn 54,False
2023-05-28,244.84164097533412,Fee,Txn 55,False
2023-04-07,49.06851072457697,Transfer,Txn 56,False
2023-12-28,585.023223615744,Fee,Txn 57,False
2023-11-02,1707.7465864245653,Transfer,Txn 58,False
2023-05-16,402.50236885406133,Sale,Txn 59,False
2023-02-16,2363.121728519609,Transfer,Txn 60,False
2023-08-04,726.1163549104051,Sale,Txn 61,False
2023-07-04,907.2060138075097,Sale,Txn 62,False
2023-07-06,438.35889679929437,Transfer,Txn 63,False
2023-10-01,919.0533781623737,Fee,Txn 64,False
2023-08-09,1546.998927764925,Fee,Txn 65,False
2023-12-15,1754.953924333114,Transfer,Txn 66,False
2023-02-24,311.825345459392,Fee,Txn 67,False
2023-12-22,25111.3229745527,Fee,Txn 68,True
2023-10-21,1199.806272633833,Transfer,Txn 69,False
2023-07-31,2029.5743102597883,Sale,Txn 70,False
2023-12-11,5987.216300751117,Transfer,Txn 71,True
2023-12-03,3019.6648344762802,Purchase,Txn 72,True
2023-07-01,265.47295279599496,Fee,Txn 73,False
2023-03-15,42.500743173768484,Sale,Txn 74,False
2023-07-10,2474.5160210594404,Purchase,Txn 75,False
2023-06-29,994.7152005228506,Purchase,Txn 76,False
2023-03-29,7935.244745115311,Fee,Txn 77,True
